=HYPERLINK("https://www.youtube.com/watch?v=rGFG56tqrB0", "[Private video]")
=HYPERLINK("https://www.youtube.com/watch?v=msIEnUFNppY", "EP578 「#遊學 之路」到底是普通人的捷徑還是陷阱？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=bnSDyMpa2zo", "EP577 工作中那些讓你「看不過去、忍不住想出手」的鳥事，多半是你「找到 #天命」的暗示！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=u2jSx2hwKOk", "EP576 阻止 #孩子 追夢？倒不如幫他試一次！給父母的3個 #陪伴 策略｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=9HDgngNaiBA", "EP575 尋找 #天賦 與 #熱情 的秘密：不是一味追求爽感，而是挖掘自己「痛並快樂著」的過程 feat. 大人學 都米｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=bHKasvMtfFk", "EP574 我該補 #學歷 嗎？學歷早已不是車票，更像快速通關券｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=hIzItXtfTgQ", "EP573 #投資 不是賺快錢的捷徑，而是 #慢慢致富 的修煉｜財經作家 綠角 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=QS3SbRhZM90", "EP572 轉職到新環境的中階 #主管，前半年該怎麼站穩腳步？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=MxCeN2GP34c", "EP571「#行銷自己」≠自賣自誇！3招「順便邀功」技巧，讓老闆與同事看見你的功勞｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=NvzTTcJZM-w", "EP570 何時才是「該放手的時機」？而怎樣又算是「太快 #放棄」？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=kxYq34NxMmw", "EP569 如何審視當下的每個人生 #選擇？你或許該問問「20年後的自己」｜雲品國際董事長、雲朗觀光集團總經理 盛治仁 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=PPYUMqBSHW8", "EP568 「大缺工時代」不是找不到 #人才，而是需要優化企業的招募流程！｜人力資源教練 林娟 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=MTCUXt5bOnA", "EP567 從報稅單到 #人生 選擇：最可怕的 #官僚制度 不在政府，而是深埋在你的大腦當中！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=WTnqiQm3P9Q", "EP566 愛畫大餅的老闆 + 無效改革 = #職涯卡關？試試「套餐選項」化解「神燈許願」的困境！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=YJHJw8KBRrg", "EP565 #創業 是手段，而非目標！你的生活方式，就能看出你適不適合創業｜點拾教練培訓創辦人 石罡宇 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=hsnYBNG7vyM", "EP564 我該 #離職 還是堅持下去？別再糾結！建立 #目標 思維，幫你走出迷惘的職涯困境｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=-IUWkqtXJaI", "EP563 「#專案管理」不只是工作技能，更是陪我走過每一段人生抉擇的導航系統｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=BgRIwckX2Bs", "EP562 「人生 #破關」之後，難道就只有這樣了嗎？來聊聊「人生 #第二曲線」的探索策略｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ozF1ba7nOxI", "EP561 你是否一邊追求 #自律，卻一邊感到自責？或許你真正需要的，是一套「#習慣系統」｜Google 產品行銷 & 百萬生產力 YouTuber Jeff Su 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=sXUHHO6YGpk", "EP560 畢業後應該先求職，還是先圓夢？迷惘時請學會為自己人生「#選擇 × #承擔 」的能力！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=j6CRCwd34e8", "EP559 #犯錯 不全然是壞事！它能突顯你的價值，還能看出你上司的格局！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=LGWe_Z7-RAg", "EP558 當 #主管 只是吃力不討好嗎？#A級人才 到底該專注磨練自己還是該當主管呢？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=H4c80OQ5TUg", "EP557 屏蔽雜訊！學會「#聚焦思考」，你才真正擁有人生的選擇權｜成大土木系教授 洪瀞 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=8pLGWlQgz8g", "EP556 老闆與客戶事前都說相信你的判斷，事後卻意見一堆，該怎麼辦？Joe教你#專案管理 的避雷指南！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=B_qAnEjuWOY", "EP555 面對不確定的未來，我們到底該「#活在當下」還是「#未雨綢繆」？矛盾背後的交集在於「人生通用貨幣」的累積！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=A4MKyqJdyPA", "EP554 問太多問題被主管嫌，但不問就會做白工！你得先搞懂「問問題」的#底層邏輯｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=QFszlxPLVNQ", "EP553 與劉軒的Small Talk：「#做事」能力才是你的王牌！布萊恩教你如何破解職場「做人」的迷思 ft. 劉軒的How to人生學｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=-qKGAcidkpQ", "EP552 大主管問「有沒有問題？」4招回應心法，讓你職場 #溝通 不踩雷｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=kmOazGX39v0", "EP551 別再問老闆：「哪個案子最急？哪個任務最重要？」正確地「#編碼」語言，才會得到你想要的答案與資源｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=NsJbY6jzIIA", "EP550 他有#離婚 紀錄，我們適合#結婚 嗎？4個層面助你確認該不該繼續下去｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=h46qevVERzk", "EP549 總是在職場與人生之間卡關？「即學即用即反思」的#零錯誤思維，幫你破解關鍵盲點，少走冤枉路！｜殿堂級危機預防大師 邱強 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=UrTzxjabX3o", "EP548 害怕在工作上被 #AI 取代？你也許可以嘗試點開「這些技能」！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=V4EhYbLzTBI", "EP547 大家說「工作滿3年才能離職」，你就信了？你需要#邏輯思考，破解別人告訴你的「職場鐵律」！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=NjPuue9he1g", "EP546 新人「突襲 #離職」，這是世代問題嗎？主管可嘗試做「這些」讓新人更穩定｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=byg57u8bhR0", "EP545 站在巨人肩膀，建立 #CEO 的視野，看懂產業大局｜聯聖集團創辦人 陳宗賢 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=resDSTd9-Y4", "EP544 志向遠大不如先思考如何落地！專注「#從0到1」，讓你的#夢想 變得可行！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=iL6bmviqaEc", "EP543 你的「#注意力」決定你的人生樣貌！專注在別人的 #缺點，也就決定了自己的人生體驗｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=owO36QQEa3M", "EP542 你是真的害怕職場，還是被學校侷限了？別害怕「#習得無助」，出社會其實比你想的還自由！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=w_ktFlB-FoY", "EP541 我自掏腰包去學新技能，老闆不但不贊助，還要我跟大家分享！拒絕顯得我 #小氣，答應又讓人生氣，我該怎麼辦？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=vV-Q7A7_NCE", "EP540 學會「不糾結，往前看」的強者法則，維持情緒穩定，讓你的人生不再 #內耗｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=6zNiraXnHvQ", "EP539 讀奇幻小說也能讓你理解人生！愛情、孤寂與 #成熟大人 的生命習題｜作家 懷觀、IP策劃人 馮勃翰 專訪｜大人的Small Talk")
